gene_id	logFC	logCPM	LR	PValue	FDR
GPNMB	-9.31989505910014	7.15435716897898	102.297910219031	4.77695775332016e-24	6.59873858913899e-22
ADIRF	-9.27651618809211	5.8406880820402	87.10095371305	1.03120813076515e-20	6.63693518413798e-19
LOC101087010	-9.26668140135548	5.67275966038037	92.087316446155	8.29352205117194e-22	6.59611453803208e-20
ADAMTS1	-9.25272220269702	6.58871423625539	85.5140717465998	2.30058588363273e-20	1.35993642121226e-18
PPP1R3C	-9.2378445170115	5.43391158478527	116.308482988747	4.06828386176286e-27	1.3689253619978e-24
FN1	-9.16129026242822	13.956360192065	77.60103901656	1.26103765343259e-18	5.20396136037607e-17
GUCY1A2	-9.14885500250479	7.16811726197886	70.6805199595587	4.20019398246826e-17	1.36096655881311e-15
AEBP1	-9.14842556341491	8.98073494718151	85.9420924648496	1.8528262574506e-20	1.12567773039464e-18
FGF7	-9.09645668204243	6.9310866722071	51.820418122452	6.08160742822323e-13	1.12406949690949e-11
RARRES2	-9.07622959295367	5.4199709300624	66.4969963389241	3.50427169163085e-16	9.99707769766776e-15
GPX8	-9.06651043587433	4.9443513103063	95.2370402389132	1.68900283778259e-22	1.64503737085681e-20
MGST1	-8.96455690367227	4.09744472776488	88.4865503112901	5.11816923319043e-21	3.44439665882862e-19
C1S	-8.93217379700346	7.52814313185387	74.3631234861337	6.49917756379137e-18	2.38903941651636e-16
BICC1	-8.92101996678454	6.78808398901042	58.5625199458594	1.96932493261759e-14	4.44809829444761e-13
S100A16	-8.86064187793689	4.85777309703768	115.060363534334	7.63380234781121e-27	2.44337532220309e-24
ARSJ	-8.83554130735622	4.78652891828116	101.185704232664	8.37516052476316e-24	1.03686067515535e-21
THBS2	-8.83156054177885	8.60080033165666	63.5220893426295	1.58578596411713e-15	4.1454719536074e-14
GPC6	-8.81807116011647	6.60223001738592	127.689899922114	1.31224615640782e-29	8.61030315526989e-27
FMOD	-8.78396222271568	6.39608552005069	61.1618067689798	5.25715511428409e-15	1.26586507458257e-13
NBL1	-8.78362244822559	5.82244406005038	98.2893717250994	3.61500987823916e-23	3.88850611738791e-21
ADGRA2	-8.71397824744894	8.61810108787726	88.8347242855507	4.29215216377883e-21	2.93364129402446e-19
FBLN5	-8.67892310652717	7.28687705462453	62.1712435265824	3.14852160435308e-15	7.79585830451425e-14
