genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
MTMR2	2.6047435802350463	3.3998864656414667	3.0484955722483043	3.1773986984142852	2.856198036068382	2.940732031142933	6.166266451076785	6.3241774418113685	6.269155126291076	6.418592739042443	6.490303337667381	5.7426395549374725	5.8855181318252585
CEP57	6.077055036124157	6.228904883059433	6.180096759864378	6.208209588604373	5.619312982941763	6.0747874294454	5.150059813665779	5.079959540858381	5.089055136694906	5.334678320102817	5.403874434284085	4.797793232351964	4.866607115413247
FAM76B	5.3891666712614335	5.361248701361899	5.186860371427363	5.151195136749469	4.990686491230113	5.151280737266826	3.8312069659185553	3.786064557378194	3.6597308399664166	3.636237983956091	3.530183027363115	2.849517057834435	3.3937355498976745
SESN3	6.967671442955447	6.359470612203444	6.54394001899088	7.377767564828508	6.4808846819554145	6.4277079565980095	6.799657470225695	7.267128073112207	7.137418382158257	7.170704251053433	7.143687025212103	7.834628559618366	7.817642847341374
ENDOD1	9.446424872259062	9.468903009568354	9.73724490023169	9.383029274134827	9.634570541271522	10.356320808511972	6.422503918226829	6.169433844845459	6.183335241779924	6.816287630685752	6.781086314335882	7.021555214255558	7.20820793005208
CWC15	5.715495898026367	6.058124962142268	5.584530185595446	5.239730522038698	5.360686086253652	5.623692268378607	5.46792452465652	5.350397857709423	5.414654499704958	5.464749121454603	5.420413882568951	5.458781063728387	5.475886468865271
AMOTL1	-1.1048622198805975	-1.3013559505267747	-1.7741585069312351	-0.4801559447518296	2.0907196819092473	-1.1898404576742727	5.408184821368234	4.957294294782461	5.133508744102289	4.982992940678764	4.956474278765224	5.320835991493476	5.2201420057959345
FUT4	3.1893530947919664	3.6360895340974504	3.3921151041700166	3.421252005794172	3.0211136537554037	2.940732031142933	1.6541631805153318	1.4892868783617115	1.4140812914411842	1.7141493118863562	2.0385709293075487	2.5021057155188813	2.572156298175833
ANKRD49	4.280720834757317	4.288176140205403	4.45377774421601	4.483783217214847	3.868583799800775	4.212374209368057	2.9327522448118533	2.9089282939813166	2.665485490996672	2.9527479661595906	3.002469091160412	2.5636249531979236	2.189852726378933
MRE11	4.925824363189044	4.696645261569052	4.764809471790932	4.99791631947212	5.060587636657723	4.609974367527406	3.944889443908346	3.844237940476648	3.9079113926971303	3.563015363470508	3.9302307947009556	4.130215509799377	4.157241869766608
