genes	DC1MINUS	DC2MINUES	DC4MINUS	X2654MINUS
RNF217	4.613637936376127	4.5071054727916815	4.632990122309144	3.828641571223662
HDDC2	4.4224146375830244	4.5849665879280455	4.282269745125213	4.520572635084689
NCOA7	6.17097104458914	5.917729934895498	5.784486256948344	5.750844918057601
HINT3	4.552670255451956	4.39628905709999	4.543429263169281	4.299234104751651
TRMT11	3.393741137108804	3.399187033885514	3.23327019388269	3.1353109402152324
CENPW	0.7557621362841304	-0.11845429892040908	0.35709651774441736	0.6927083378660773
RSPO3	2.340649312944787	0.5421246136784348	-1.7498725939693738	-0.6773912293309642
RNF146	5.5898080912709736	5.575624659353935	5.560052431265848	5.33982420633295
ECHDC1	4.903369245781035	6.370320806200903	4.9425118955458425	5.633769377006976
LOC102901051	0.7913832903258472	1.1753822830916962	-0.12566759945062372	0.6927083378660773
KIAA0408	3.4944339130584106	5.250255997739908	1.5638746513416488	4.345474740465865
SOGA3	0.38806315296789634	-0.24339700959068353	-2.410824744352663	1.4144766664963215
PTPRK	5.0224415591152916	5.732116294907298	3.959775975968776	5.823929486907633
LAMA2	5.288594317946681	8.32319485730372	5.401246190617991	8.620136521217013
ARHGAP18	5.0224415591152916	5.357677187239015	4.290349641134853	5.576760720703718
TMEM244	-3.5640208744288153	-2.671418273567493	-2.410824744352663	0.2729164715073611
L3MBTL3	4.109689137292007	4.43248059139791	4.3430892196621755	3.8521266712535716
TMEM200A	4.205220865810981	3.9162011866582738	4.516128910334675	3.1730982020132066
EPB41L2	7.534384421906976	7.792956122275026	7.1337110631888345	7.8182844939350575
AKAP7	2.901352138601239	3.244922679509664	2.7381146580626434	3.3065898638554105
MED23	5.7098491040037365	5.772005963471411	5.771076098731061	5.532021092629171
ENPP1	5.236242480174904	5.595142430282497	3.5072880801863997	6.487044181426596
CTGF	10.461799911807226	11.059524873548469	10.374733186697108	10.575244696315552
LOC111560523	1.9095052668207393	1.8615943100429282	1.2471028370210746	-0.2201500833551739
MOXD1	3.9454860902292834	4.284756742765114	3.3357228553672527	-0.32160202683356687
STX7	6.295585822517862	6.478753124873831	6.310693141817015	6.148312227911043
LOC101096984	1.925624367949135	1.358513240209669	3.187856263065317	1.6470807940791583
LOC101097240	-0.3961028732633172	2.639782384343132	1.5278784735486588	-2.653513013223081
SLC18B1	2.399541495477032	2.853165069903563	2.7381146580626434	2.6640808621587024
RPS12	10.216514712905099	9.89112000300353	10.079949685512046	9.931889832549405
LOC111560703	-0.3961028732633172	0.1534480389063789	0.5125321811689992	-0.4307314788726614
EYA4	-2.243447198427649	0.5794943449739428	-1.298290350707239	-1.1506922190568052
TCF21	-0.1066419021754371	0.5794943449739428	-0.24515241766547013	-3.3127628774108793
TBPL1	4.7579086514149305	4.36987056491188	4.986276003413282	4.402260916013053
SLC2A12	2.478149412780345	1.8153541457841382	2.535490834880572	2.7788165200011252
SGK1	4.2666209795399705	4.429925375977635	4.227215428725863	5.204961064248552
HBS1L	6.528460625489426	6.748046735091273	6.4584421553359	6.622950673059275
AHI1	6.0373503034928735	6.176638545760287	6.11683340654633	6.0514610913855105
PDE7B	3.972892014564426	4.804038437291112	3.187856263065317	3.659253897468209
MTFR2	1.1617267828478248	-2.357105347799351	-0.06944222668932157	-0.6773912293309642
BCLAF1	7.732929968980024	7.551048758870556	7.648752420024013	7.248653120027931
MAP3K5	1.60370882723572	1.7013226048897208	2.1057622899092863	2.449905817678342
PEX7	3.7912868378944644	4.02178350254231	3.832759010969198	3.7804923700645063
IFNGR1	5.756779342411781	5.741419981251828	5.674572877055722	5.633769377006976
LOC109499916	-4.56176633144625	-2.357105347799351	1.0067482968959653	-4.56176633144625
TNFAIP3	3.7780308683864643	3.9629051044863073	4.791298989720917	3.8521266712535716
PERP	4.393732061532588	4.445189221489891	3.8141990092479885	5.8849757492110095
ARFGEF3	-0.9809398546361731	-0.17957351429542048	0.8981469985683418	-1.3506557696413646
HEBP2	2.01873063378006	4.7660499665994225	3.6012168974972116	1.9158041762329168
NHSL1	4.073977317526879	4.884623851119141	4.603029304756819	3.1448509471288784
CCDC28A	4.941521902367643	5.129471532151361	4.867086038031889	5.225337609389194
REPS1	4.7051913951144515	4.7700961859923865	5.054282027485305	4.418083294121993
ABRACL	4.037359017484241	4.1700118791757355	4.149394103969397	4.660164465300497
HECA	6.64682717729645	6.869935734148769	6.714071055673781	6.382055256860765
TXLNB	1.7736268541504379	1.7675827124542483	1.3741782756477057	0.2015743871559807
CITED2	5.014927536109107	4.960945097068384	5.022297672084072	5.200393592031447
VTA1	4.961204184105702	5.104051962735941	4.947629883167198	4.656834345316692
ADGRG6	4.626021594229321	5.348235503895641	4.754781016313377	3.218981629532551
HIVEP2	6.294810389759815	6.334565424163617	6.321904167424774	5.812002947741658
AIG1	4.408144629055274	4.710285348727127	4.276857897814667	4.769044082415767
ADAT2	1.737559012008189	1.7996054425062893	1.909908486116313	1.7506809971299266
PEX3	3.847362236986873	3.886690262001512	3.829066063163882	3.8404319088702716
FUCA2	5.662543510721834	6.123863669280883	6.279913229611477	5.993239647530514
PHACTR2	5.785767937678802	6.039219468160451	5.708133422165048	5.672211148034814
LTV1	4.518537765146729	4.460293263382124	4.376364221094235	4.8175705043115356
PLAGL1	3.8217518306941565	3.8717052967640146	3.9732226852517725	3.163743767965252
SF3B5	4.502507748327638	4.315536411011158	4.509222331236296	4.464535166220354
UTRN	6.9830259304119195	7.1838191777240334	7.110320568046383	7.684455060146346
EPM2A	3.662554809847098	3.5852149452559527	4.238395648588583	4.107642148505568
FBXO30	5.763520903842189	5.833233818875812	5.567828809320596	7.489982250910107
SHPRH	5.93854315204541	5.916817765151793	5.861526868949228	5.386813277010952
RAB32	6.493743525283446	6.860953160666658	6.780589862958229	6.4719641960185665
STXBP5	7.053483953315625	7.79593581666912	6.793438596926285	6.994739793311118
SAMD5	-1.3958518454863769	0.10301336830275122	-1.298290350707239	-1.5828642649950855
SASH1	7.440048230965243	7.666252174931061	7.264217945662513	6.900034796955728
UST	6.591069968036643	6.618833021565246	6.007537430887592	6.997375182798589
TAB2	6.206862843222635	6.245825898559501	6.437979439143831	6.223395773903063
PPIL4	4.066727635512622	3.6481250014161164	4.006301150164795	3.659253897468209
GINM1	6.051191396066895	5.839986178315387	5.630698339239021	6.324451964593186
KATNA1	4.563012141610025	4.636850796890811	4.504599507784085	4.527882500138619
LATS1	5.843115313258897	6.013850638648653	5.78829494672311	5.716069075152001
NUP43	4.141090998502193	3.8978277195217683	3.6055407174689713	3.381131658607245
PCMT1	5.776910248627925	5.737292414901808	5.469255314105263	6.032313826311951
LRP11	4.364467653002889	3.882958587193744	5.327256237605241	3.8462911400275126
LOC102899212	2.531786126776609	2.2221129698432085	2.6319035666556583	2.3544613470844187
LOC105260590	1.2666903584416396	0.7199857482616369	1.9376102183497506	1.2824095892134135
PPP1R14C	-0.24412488499845436	0.9655785363046999	-0.12566759945062372	1.7254700219661911
PLEKHG1	3.4944339130584106	2.998202831031524	3.1469114599515495	2.623714217023435
MTHFD1L	5.442154063933555	4.914176645052223	5.412394760413259	5.110745578605744
AKAP12	6.734647336197431	5.918641528267967	7.969152343332467	4.61626154722346
ZBTB2	4.399514377824175	4.427365626881227	4.345676260574979	4.277715482412127
RMND1	3.7646519681495976	3.8603635380486083	3.4507345723278102	3.8107734050016604
ARMT1	5.311776769611893	5.845748867126824	5.883948044520801	5.843102259973801
CCDC170	0.6432965677918728	-0.4537873419090995	0.9534692997451586	2.4344304817944784
ESR1	3.33460677248133	4.968007554810157	2.4800534459425965	3.8752355816865616
SYNE1	7.666742419166961	8.20972581275894	7.92464131625837	8.234278727221202
MTRF1L	3.9494332409137667	4.206299780981372	3.939367956018666	3.9748758127875954
RGS17	2.6911384366109927	2.3573504038180326	3.725606150436932	1.4762369267463957
CNKSR3	5.760154060948898	4.865841138772577	5.300836442020753	4.58856491808194
SCAF8	6.422407964853421	6.475039794339373	6.308705650174544	6.220015053651467
TIAM2	5.345117734999945	5.388271858577721	5.3285646119075585	4.0630538429264
TFB1M	1.478183651558448	2.07287471659389	2.1057622899092863	2.321189816491827
ARID1B	5.011155797665816	5.336004688510011	5.23677654178521	5.108309524526085
TMEM242	3.6911236666430285	4.0319288855851205	3.561708066885316	3.7681997250261796
LDHAL6B	0.13433459533124129	0.29496449145431924	-0.18417338690912424	0.3408962639400503
ZDHHC14	1.215162941008379	2.136943449745525	-0.12566759945062372	1.7754589684872266
SNX9	6.947450195500867	7.617118977227378	7.028957898906877	7.031847082155428
SYNJ2	4.864180155742155	5.159086838284024	5.627512789317358	5.3988236890042085
SERAC1	3.285489660827154	3.6481250014161164	3.411761824802269	3.1353109402152324
GTF2H5	4.307174803157895	4.385779641387948	4.134510466865426	4.759760822944242
TULP4	3.1819349250331053	3.340534580338373	3.5072880801863997	3.0767068978468353
