gene_id	logFC	logCPM	LR	PValue	FDR
IGFBP6	-11.2336460091173	7.11031779235243	347.438793167328	1.53068015759359e-77	4.82997788341661e-76
CAVIN1	-11.1916628041194	9.44394026255296	523.238605065956	8.35496507841757e-116	6.0242700689857e-114
DPYSL3	-11.1811843056484	8.54551129348966	363.487199558175	4.90079237483531e-81	1.67583962431332e-79
ACTC1	-11.1058659161957	8.07724510773702	198.481934858124	4.47830691401324e-45	6.28738508148026e-44
CDH13	-11.0483813802127	7.22061504063607	387.213364136075	3.34608348146296e-86	1.26350332410218e-84
PMP22	-11.0470247640748	7.43360388282756	1009.218737708	1.78013825110133e-221	2.57877300284542e-218
ID4	-11.0433249892304	6.81297539701025	707.273345042329	7.83572266447688e-156	1.43519816848781e-153
F3	-10.9964829291448	6.83650191371791	484.719179687603	2.00849639769496e-107	1.18979145343008e-105
LOC101095064	-10.9886454231911	8.29188663996871	286.660516571873	2.65591294696484e-64	5.98613476801765e-63
TNC	-10.870476397099	9.0022937302765	148.024643032716	4.68537401250402e-34	4.64601337207539e-33
NOV	-10.8422598342751	6.09989569722125	115.719559973069	5.47492699289884e-27	4.20650731108212e-26
CDH2	-10.8148312945109	7.62999985832125	198.814237471745	3.789619253822e-45	5.33459212099413e-44
TWIST1	-10.7738218752999	4.16529382862204	619.640069402462	8.95448852749372e-137	1.04918951974715e-134
CYR61	-10.7575870149855	8.30149872658958	604.25521786949	1.98728744374159e-133	2.15424662694029e-131
PAPPA	-10.6768543688239	8.72735861263161	141.825618704443	1.06172229466717e-32	1.01066575660223e-31
COL8A1	-10.6658709816876	7.50965836132356	107.371633862254	3.69051154463226e-25	2.64663822969015e-24
COL5A1	-10.6227119857428	10.9288773855069	138.903920722511	4.62282502468214e-32	4.27785811662659e-31
C1R	-10.6109193980865	5.07440810506954	197.959426348683	5.82293442637296e-45	8.12508407042496e-44
SEMA3C	-10.5951572026302	8.37218338673378	542.494118662395	5.40560800370065e-120	4.20187139214487e-118
FERMT2	-10.5840849293216	8.39526804734773	177.986798076774	1.3335133248193e-40	1.64597481262552e-39
LOX	-10.5627991865331	9.4616628936244	473.097563144384	6.78767419894615e-105	3.83551731773783e-103
COL12A1	-10.543146061308	9.8771044978262	137.866446084886	7.79466494969965e-32	7.15896172757717e-31
LOC101099873	-10.5277956672209	8.26228459128932	206.91300175886	6.47715923859127e-47	9.6641884332352e-46
PARVA	-10.4749345152407	8.03203798844466	500.858067931703	6.18404085304647e-111	4.14044920139897e-109
ACTA1	-10.4666490855628	5.26052197919432	64.905445620717	7.85796160345253e-16	3.45329890102085e-15
COL6A1	-10.4645304337797	9.35258037424083	149.396175784068	2.34932475127823e-34	2.36789942514981e-33
FSTL1	-10.4551811005659	11.0905828528825	796.510016043079	3.09633912731866e-175	1.04979072327283e-172
SERPINH1	-10.4254550620279	9.48708665921454	776.82465490444	5.90052655942646e-171	1.77405454197096e-168
LARP6	-10.4157951174178	5.96519039470862	657.165479495478	6.17694315367083e-145	8.63417448717058e-143
